id;PLACA:;LINEA:;MODELO;CLASE DE VEHICULO;TIPO DE CARROCERRIA;MARCA:;COLOR:;No CHASIS:;No MOTOR:;CILINDRAJE:;USO DEL VEHÍCULO:;No INTERNO UPN;SOAT FECHA DE VENCIMIENTO:;REVISION TECNICOMECANICA FECHA DE VENCIMIENTO:; No. LICENCIA DE TRANSITO;Número llantas:;Número de ventanas:;Capacidad de carga y/o pasajeros:;Llantas;Destormillador;Gato;Alicates;Extintor;Rachas;Lampara de pilas;Conos;Banderas;Mechones;Llanta Emergencia;
1;262;JX1043DC2;2.009;Camion;Furgon;JMC;Blanco;LETYECG2X9HN00080;JX493ZQ4A7D001674;4.000;Transporte ;;1/08/2020;28/11/2019;;6;2;3;50 Ton  ;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2;513;NPR 729;2.008;Camion;Furgon;Chevrolet;Blanco arco bicapa;9GDNPR7138B011527;534285;4.600;Transporte ;;24/08/2020;17/01/2020;77169894;6;2;4;31 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
3;763;XZU413L-HKMQD3;2.012;Camion;Furgon;Hino;Blanco;9F3UT11H8C6000797;N04CTT25585;4.009;Transporte;;21/09/2020;18/01/2020;;6;2;4;45 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
4;514;FC9JJSA;2.013;Camion;Furgon;Hino;Blanco;9F3FC9JJSDXX15189;J05ETC17940;5.123;Transporte;;12/11/2020;22/11/2019;77096193;6;2;6;45 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
5;388;XZU423L-HKMR;2.012;Camion;Furgon;Hino;Blanco;9F3YT20HXC6001247;N04CTT26705;4.009;Transporte;;25/07/2020;4/09/2019;1055313959;6;2;5;30 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
6;921;XZU650L-HKMMJ3;2.014;Camion;Furgon;Hino;Blanco;9F3CCJ3H6E4100047;N04CUY10955;4.009;Transporte;;20/11/2020;17/12/2019;77092811;6;2;2;66 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
7;922;XZU650L-HKMMJ3;2.014;Camion;Furgon;Hino;Blanco;9F3CCJ3H4E4100046;N04CUY10956;4.009;Transporte;;20/11/2020;26/12/2019;;6;2;;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;
8;927;XZU710L-HKFQ;2.014;Camion;Furgon;Hino;Blanco;9F3UCL1H3E3100872;N04CVB17256;4.009;Transporte;;14/12/2019;10/01/2020;1065593029;6;2;;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;
9;623;XZU720L-HKFRP;2.016;Camion;Furgon;Hino;Blanco;9F3YCP0H2G5101108;N04CUV21611;4.009;Transporte;;24/08/2020;28/08/2019;15171339;6;2;;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;
10;857;XZU720L-HKFRP;2.016;Camion;Furgon;Hino;Blanco;9F3YCP0H5G5101202;N04CUV22444;4.009;Transporte;;15/12/2019;27/12/2019;77093967;6;2;5;15 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
11;842;XZU710L-HKFML3;2.015;Camion;Furgon;Hino;Blanco;9F3UCL3HXF3101533;N04CVB21088;5.123;Transporte;;12/09/2019;13/09/2019;77169814;6;2;3;39 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
12;987;NP300FRONTIER;2.017;Camion;Furgon;Nissan;Blanco;3N6AD35X5ZK364644;QR25-082352H;2.488;Transporte;;13/07/2020;16/07/2020;;6;2;3;39 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
13;467;XZU710L-HKFMP3;2.017;Camion;Furgon;Hino;Blanco;9F3UCPH8H3102688;N04CUV23915;4.009;Transporte;;17/08/2020;15/08/2020;;6;2;3;60 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
14;614;FRR;2.014;Camion;Furgon;Chevrolet;Blanco;9GDFRR905EB008806;4HK1-087880;5.193;Transporte;;30/07/2020;18/09/2020;;6;2;6;10 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
15;105;NHR;2019;Camion;Furgon;Chevrolet;Blanco;9GDNLR774KB005453;3L6922;2.999;Transporte;;18/07/2020;;;6;2;1;65 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
16;123;NHR;2017;Camion;Furgon;Chevrolet;Blanco;9GDNLR778HB026184;2S3868;2.999;Transporte;;1/11/2020;8/01/2020;;6;2;1;70 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
17;203;XZU640L-HKMLN3;2017;Camioneta;Furgon;Hino;Blanco;9F3BCN4H2H2103397;N04CVC12516;4.009;Transporte;;7/09/2020;;;6;2;1;55 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
18;259;XZU710L-HKFQP3;2017;Camion;Furgon;Hino;Blanco;9F3UCP1H5H3102652;N04CUV23736;4.009;Transporte;;27/05/2020;6/02/2020;;6;2;4;18 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
19;330;XZU640L-HKMLN3;2019;Camion;Furgon;Hino;Blanco;9F3BCN4H6K2106424;N04CVC17822;4.009;Transporte;;;;;6;2;1;483 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
20;358;XZU720L-HKFRP;2019;Camion;Furgon;Hino;Blanco;9F3YCP0H1K5102193;N04CUV32319;4.009;Transporte;;28/01/2020;;;6;2;5 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;
21;449;XZU720L-HKFRP;2018;Camion;Furgon;Hino;Blanco;9F3YCP0H9J5101579;N04CUV26289;;Transporte;;;;;6;2;4;050 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
22;359;XZU720L-HKFRP;2019;Camion;Furgon;Hino;Blanco;9F3YCP0H1K5102193;N04CUV32319;4.009;Transporte;;28/01/2020;;;6;2;5 Ton;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;
23;744;XZU640L-HKMLN3;2019;Camioneta;Furgon;Hino;Blanco;9F3BCN4H4K2105515;N04CVC15224;4.009;Transporte;;9/07/2019;;;6;2;2 Ton;;;;;;;;;;;;
24;757;XZU650L-HKMMP3;2017;Camion;Furgon;Hino;Blanco;9F3CCP3H0H4100228;N04CUV23412;4.009;Transporte;;27/05/2020;28/05/2019;;6;2;2;65 Ton;;;;;;;;;;;
25;469;XZU720L-HKFRP;2.018;Camion;Furgon;Hino;Blanco;9F3YCP0H9J5101579;N04CUV26289;;Transporte;;;;;6;2;4;050 Ton;;;;;;;;;;;
